-20.295370,-40.289830
-20.296256,-40.290516
-20.297624,-40.291460
-20.298369,-40.292010
-20.299093,-40.292182
-20.299576,-40.292182
-20.301848,-40.291741
-20.302351,-40.291816
-20.302703,-40.291859
-20.303085,-40.291891
-20.303286,-40.291923
-20.303186,-40.291901
-20.303809,-40.292148
-20.304292,-40.292524
-20.304806,-40.292942
-20.305289,-40.293371
-20.305751,-40.293650
-20.306486,-40.294155
-20.306647,-40.294240
-20.307513,-40.294916
-20.308247,-40.295388
-20.308519,-40.295635
-20.308056,-40.295850
-20.307311,-40.296171
-20.306768,-40.296407
-20.306245,-40.296665
-20.305430,-40.296965
-20.304283,-40.297427
-20.303810,-40.297609
-20.302884,-40.297995
-20.302029,-40.298371
-20.300821,-40.298875
-20.299936,-40.299175
-20.299272,-40.299444
-20.298668,-40.299712
-20.297782,-40.300023
-20.296967,-40.300270
-20.296283,-40.300624
-20.295609,-40.300903
-20.294713,-40.301386
-20.293848,-40.301718
-20.292922,-40.301986
-20.292117,-40.302373
-20.291372,-40.302630
-20.290668,-40.302920
-20.290124,-40.303199
-20.289078,-40.303628
-20.288031,-40.304014
-20.286914,-40.304132
-20.286180,-40.303918
-20.285385,-40.303403
-20.284962,-40.303049
-20.284087,-40.302566
-20.283060,-40.302040
-20.282114,-40.301793
-20.281480,-40.301675
-20.280242,-40.301547
-20.278612,-40.301375
-20.278994,-40.300924
-20.279981,-40.300152
-20.280967,-40.299283
-20.281389,-40.298993
-20.281550,-40.298317
-20.282205,-40.298382
-20.282778,-40.297845
-20.283463,-40.297319
-20.284127,-40.296761
-20.285153,-40.296010
-20.286381,-40.294852
-20.286884,-40.294294
-20.287971,-40.293736
-20.289158,-40.292770
-20.290950,-40.291311
-20.292922,-40.289595
-20.294230,-40.289316
-20.295518,-40.290002
-20.296444,-40.290646
-20.297128,-40.291054
-20.297974,-40.291569
-20.298960,-40.292148
-20.299704,-40.292191
